A,B,C,D,E,F
4,20.45,18,71,12.1365,4.65878
7,23.52,34,119.5,39.598,39.598
8,24.24,18,71.02,-13.8956,-1.70617
14,30.55,14,59.4,-77.7032,-6.79814
39,55.55,6,35.54,-52.9769,-28.1683
32,48.01,13,55.99,-85.607,-36.338
11,27.23,25,92.02,-54.464,-83.867
37,52.97,9,44.44,12.6335,11.3752
39,55,25,92.3,-78.8351,-51.196
34,50.15,38,131.29,45.1362,59.8976
26,42.16,34,119.28,-14.5623,-10.5801
30,46.1,39,134.52,-44.9397,-21.9185
29,45.17,31,110.27,15.4866,22.1171
37,53.44,24,89.2,39.2141,60.3843
23,39.55,20,76.98,-24.3215,-15.7945
19,35.06,27,98.5,-41.6795,-43.1604
6,22.19,26,95.54,-67.9207,-16.9345
29,45.36,29,104.49,68.7139,13.3566
25,41.56,35,122.26,38.0649,17.75
23,39.54,38,131.41,-1.11839,-1.65807
24,40.54,30,107.4,41.4861,46.0749
17,33.17,5,32.4,-21.6658,-3.82026
24,40.36,7,38.1,2.91089,0.725765
2,18.25,8,41.46,67.987,36.1493
29,45.1,20,77.17,86.3563,21.531
1,17.5,28,101.41,-21.1503,-47.5043
7,23.02,23,86.41,-37.4892,-10.7498
32,48.22,32,113.56,-48.0997,-9.34963
0,16.1,24,89.45,92.8427,14.7048
31,47.01,27,98.09,-42.2638,-36.7393
11,27.22,21,80.08,11.3012,39.4117
14,30.05,7,38.35,43.8467,10.1228
11,27.14,25,92.21,27.4856,5.34265
20,36.25,1,20.01,32.9671,59.4741
38,54.37,12,53.54,-35.242,-43.5201
33,49.24,13,56.23,-16.853,-14.1413
36,52.5,15,62.4,42.9659,46.0753
23,39.31,1,20.25,-1.82709,-0.813473
37,53.55,9,44.35,-16.9353,-1.48165
26,42.5,2,23.35,-83.0887,-31.8947
6,22.33,13,56.37,-51.4022,-82.2606
7,23.28,16,65.51,-24.4576,-23.6184
7,23.26,26,95.45,-78.4781,-27.0221
10,26.51,3,26.08,23.0126,9.76827
21,37.2,23,86.4,21.3969,26.4229
21,37.17,15,62.31,-16.0602,-22.9362
38,54.36,1,20.43,45.559,58.3128
18,34.1,36,125.01,70.1481,40.5
8,24.48,20,77.4,-48.3044,-43.4935
33,49.33,0,17.46,25.2101,45.4802
35,51.3,27,98.47,-16.5383,-57.6757
20,36.15,11,50.3,-20.3532,-12.7181
0,16.31,30,107.25,12.2021,27.4064
34,50.48,35,122.23,31.2738,67.0667
15,31.17,38,131.04,-19.9273,-46.9457
14,30.33,36,125.18,-27.6935,-54.3514
12,28.08,18,71,16.1266,42.0111
0,16.54,21,80.27,-11.3262,-8.22899
34,50.49,34,119.46,7.1934,6.94658
11,27.42,1,19.98,-43.5028,-20.2857
24,40.23,6,35.29,-62.0496,-52.0658
0,16.29,17,68.35,-39.3579,-21.8164
24,40.13,11,50.54,34.0916,46.923
21,37.49,33,116.32,0.374608,0.927184
16,32.41,28,101.14,82.6685,23.7048
19,35.47,19,74.55,-3.52671,-4.8541
23,39.11,31,110.09,3.89748,0.899804
18,34.45,6,35.47,19.9172,16.7125
31,47.04,37,128.42,-97.4632,-10.2438
8,24.48,27,98.26,46.633,74.6282
22,38.25,15,61.98,33.0896,31.9543
32,48.18,35,122.32,-31.0606,-13.829
14,30.21,20,76.97,-25.6601,-22.306
17,33.47,5,32.24,-46.7571,-45.1528
18,34.12,10,47.34,75.4987,36.8232
11,27.43,39,134.43,-55.631,-22.4764
8,24.09,10,47,-51.0446,-9.92206
23,39.51,33,116.4,-27.5066,-19.9847
21,37.01,21,80.15,-55.5391,-12.8222
9,25.3,4,28.97,-49.8097,-4.35778
11,26.98,27,97.99,14.8629,13.3826
11,27.25,11,50.18,-9.50629,-14.0936
10,26.15,25,92.52,62.9488,50.9749
6,22.51,0,17.37,38.1542,61.0594
20,36.19,16,65.21,10.5659,9.18482
37,53.54,0,17.21,49.2622,13.1998
3,19.19,0,17.23,77.9945,28.3877
18,34.02,14,59.52,-25.7115,-30.6418
39,55.16,22,83.36,55.0812,21.1437
2,18.16,0,17.27,62.9817,72.4521
37,53.22,23,86.14,21.8605,56.9484
29,45.01,16,65.18,-17.2135,-5.26269
16,32.37,17,68.47,-1.16949,-3.82522
18,34.52,9,44.09,65.2828,15.0717
18,34.46,19,74.56,18.7789,35.3179
5,21.06,32,113.06,97.0463,13.639
35,51.24,29,104.09,59.2613,9.38606
4,20.25,4,29.5,-14.322,-15.3584
11,27.46,20,76.97,-96.8366,-20.5832
20,36.48,28,101.09,29.6985,29.6985
31,47.45,1,20.53,28.1386,7.01573
1,17.41,18,71.2,-47.8663,-20.318
7,23.49,27,98,-54.1202,-50.4678
16,32.26,19,74.05,21.836,2.68112
7,23.11,23,86.24,-70.9427,-61.6695
28,44.15,26,94.98,13,22.5167
21,37.44,31,110.28,-49.4975,-49.4974
10,26.34,4,29.06,-58.7755,-5.14218
39,55.46,12,53.15,-8.24248,-21.4723
30,46.13,28,101.42,76.9563,31.0923
11,27.2,17,68.14,42.7975,13.9058
24,40.03,30,107.33,30.2054,48.3387
8,24.36,10,47.49,-63.0409,-49.2529
3,19.56,4,29.44,-20.7431,-23.0375
21,37.08,29,103.98,-28.7726,-31.9552
20,35.97,16,65.14,-89.507,-9.40755
12,28.11,39,134.4,-15.987,-55.7532
16,32.27,20,77.35,-4.04509,-2.93892
14,30.47,12,53.55,34.9842,12.046
12,28.47,5,32.5,-41.9373,-64.5776
38,54.41,35,122.52,-58.1037,-10.2452
8,24.31,31,110.05,25.364,14.0595
29,45.54,36,125.46,4.86261,5.03538
10,26.18,21,80.12,-7.96956,-0.697245
9,25.53,20,77.51,-89.8796,-14.2355
29,45.25,0,17.21,-34.5727,-77.6513
21,37.4,7,38.09,12.572,41.1211
6,22.41,17,68.52,-35.2381,-29.5682
38,54.33,38,131.09,-26.2829,-12.2559
2,18.17,18,71.12,30.4174,59.6974
19,35.05,28,101.08,46.2808,55.1552
4,20.1,10,47.09,-53.9895,-10.4945
12,28.41,30,107.19,18.7661,2.97225
27,43.06,13,56.34,-9.78574,-16.2862
20,36.41,37,128.15,-61.1315,-53.1407
18,34.47,24,89.43,52.2872,31.4173
1,17.22,21,80.29,-10.1256,-4.29804
30,46.11,14,59.37,35.9961,42.8985
17,33.52,35,122.07,5.81773,10.4954
34,50.29,32,113,-49.7682,-73.7843
19,35.06,33,116.2,82.1551,31.5364
31,46.98,32,113.41,1.87304,4.63592
15,31.32,39,134.26,-18.3851,-15.4269
